payor,terminal_root_cause,dos_quarter,account_count,total_charges,total_payments,total_adjustments,total_open_balance,avg_cycle_days,median_cycle_days,avg_journey_length,avg_biller_touches,total_labor_cost,top_journey,top_anomaly_flag,pct_with_anomaly,recovery_rate
COMMERCIAL,UNSYNTHESIZED,2024Q1,1,2428.47998,0.0,543.0100098,1885.4699702,77.0,77.0,0.0,3.0,15.0,,,0.0,0.0
COMMERCIAL,AWAITING_RESPONSE,2024Q1,1,1856.0,0.0,0.0,1856.0,0.0,0.0,1.0,0.0,0.0,AWAITING_RESPONSE,"AGED_OPEN,NO_HUMAN_TOUCH",1.0,0.0
COMMERCIAL,REGISTRATION_ELIGIBILITY,2024Q1,1,1383.75,0.0,0.0,1383.75,0.0,0.0,1.0,0.0,0.0,REGISTRATION_ELIGIBILITY,MASS_REGELIG_DENIAL,1.0,0.0
COMMERCIAL,RESOLVED_WRITEOFF,2024Q1,3,7422.2501219999995,0.0,6486.4902346,935.7598874,287.6666666666667,294.0,2.6666666666666665,7.333333333333333,110.0,"UNDERPAYMENT,ADDITIONAL_DOCUMENTATION_NEEDED,RESOLVED_WRITEOFF","AGED_OPEN,ADJUSTMENT_REVERSAL_NOISE",1.0,0.0
MEDICARE,AWAITING_RESPONSE,2024Q1,1,3407.830078,0.0,2663.620020381,744.210057619,493.0,493.0,2.0,8.0,40.0,"UNCLEAR_NOTE,AWAITING_RESPONSE","AGED_OPEN,NO_HUMAN_TOUCH",1.0,0.0
COMMERCIAL,RESOLVED_PAID,2024Q1,3,8323.880127,8323.880127,0.0,0.0,48.333333333333336,46.0,2.0,2.3333333333333335,35.0,"AWAITING_RESPONSE,RESOLVED_PAID",,0.0,1.0
WORKERS COMP,UNSYNTHESIZED,2024Q2,1,2157.419922,0.0,2157.419922,0.0,89.0,89.0,0.0,1.0,5.0,,,0.0,0.0
MEDICAID,RESOLVED_PAID,2024Q1,1,2655.02002,2655.02002,0.0,0.0,12.0,12.0,1.0,1.0,5.0,RESOLVED_PAID,,0.0,1.0
COMMERCIAL,UNSYNTHESIZED,2024Q4,1,1193.130005,0.0,1197.130005,-4.0,261.0,261.0,0.0,6.0,30.0,,,0.0,0.0
COMMERCIAL,UNSYNTHESIZED,2024Q2,3,17555.989992,7426.0898435,13124.461426,-2994.5612775,85.33333333333333,34.0,0.0,2.3333333333333335,35.0,,,0.0,0.42299465008147974
